sec,ESTABLISHED,TIME_WAIT,LISTEN,SYN_SENT,SYN_RECV,FIN_WAIT1,FIN_WAIT2,CLOSE_WAIT,CLOSING,LAST_ACK,CLOSED
1,1138,0,0,0,54,0,11,3,0,0,0
2,1139,0,0,0,54,0,11,3,0,0,0
3,1139,0,0,0,54,0,11,3,0,0,0
4,1139,0,0,0,54,0,11,3,0,0,0
5,1138,0,0,0,55,0,11,4,0,0,0
6,1137,0,0,0,55,0,12,4,0,0,0
7,1138,0,0,0,54,0,12,4,0,0,0
8,1138,0,0,0,54,0,12,4,0,0,0
9,1138,0,0,0,54,0,12,4,0,0,0
10,1138,0,0,0,54,0,12,4,0,0,0
11,1138,1,0,0,54,0,12,4,0,0,0
12,1138,1,0,0,54,0,12,4,0,0,0
13,1138,1,0,0,54,0,12,4,0,0,0
14,1137,1,0,0,54,0,12,5,0,0,0
15,1137,1,0,0,54,0,12,5,0,0,0
16,1137,2,0,0,55,0,12,5,0,0,0
17,1137,2,0,0,55,0,12,5,0,0,0
18,1137,2,0,0,53,0,12,5,0,0,0
19,1137,2,0,0,51,0,12,5,0,0,0
20,1137,2,0,0,50,0,12,5,0,0,0
21,1137,3,0,0,47,0,12,5,0,0,0
22,1137,3,0,0,45,0,12,5,0,0,0
23,870,3,0,0,42,269,12,0,0,0,0
24,544,3,0,0,37,597,12,0,0,0,0
25,196,3,0,0,36,945,12,0,0,0,0
26,128,4,0,0,35,1013,11,0,0,0,0
27,128,4,0,0,34,1013,11,0,0,0,0
28,128,4,0,0,33,1013,11,0,0,0,0
29,130,4,0,0,29,1013,11,0,0,0,0
30,130,4,0,0,27,1013,11,0,0,0,0
31,130,5,0,0,26,1013,10,0,0,0,0
32,130,5,0,0,25,1013,10,0,0,0,0
33,130,5,0,0,24,1013,10,0,0,0,0
34,132,5,0,0,21,1013,10,0,0,0,0
35,134,5,0,0,19,1013,10,0,0,0,0
36,135,6,0,0,17,1013,9,0,0,0,0
37,135,6,0,0,17,1013,9,0,0,0,0
38,135,6,0,0,17,1013,9,0,0,0,0
39,135,6,0,0,17,1013,9,0,0,0,0
40,135,6,0,0,17,1013,9,0,0,0,0
41,135,7,0,0,17,1013,8,0,0,0,0
42,137,7,0,0,15,1013,8,0,0,0,0
43,151,7,0,0,1,1013,8,0,0,0,0
44,151,7,0,0,1,1013,8,0,0,0,0
45,151,7,0,0,1,1013,8,0,0,0,0
46,151,8,0,0,1,1013,7,0,0,0,0
47,151,8,0,0,0,1013,7,0,0,0,0
48,151,8,0,0,0,1013,7,0,0,0,0
49,151,8,0,0,0,1013,7,0,0,0,0
50,151,8,0,0,0,1013,7,0,0,0,0
51,151,9,0,0,0,1013,6,0,0,0,0
52,151,9,0,0,0,1013,6,0,0,0,0
53,151,9,0,0,0,1013,6,0,0,0,0
54,151,9,0,0,0,1013,6,0,0,0,0
55,151,9,0,0,0,1013,6,0,0,0,0
56,151,10,0,0,0,1013,5,0,0,0,0
57,151,10,0,0,0,1013,5,0,0,0,0
58,151,10,0,0,0,1013,5,0,0,0,0
59,151,10,0,0,0,1013,5,0,0,0,0
60,151,11,0,0,0,1013,4,0,0,0,0
61,151,11,0,0,0,1013,4,0,0,0,0
62,151,11,0,0,0,1013,4,0,0,0,0
63,151,11,0,0,0,1013,4,0,0,0,0
64,151,11,0,0,0,1013,4,0,0,0,0
65,151,12,0,0,0,1013,3,0,0,0,0
66,151,12,0,0,0,1013,3,0,0,0,0
67,151,12,0,0,0,1013,3,0,0,0,0
68,151,12,0,0,0,1013,3,0,0,0,0
69,151,12,0,0,0,1013,3,0,0,0,0
70,151,12,0,0,0,1013,2,0,0,0,0
71,151,12,0,0,0,1013,2,0,0,0,0
72,151,12,0,0,0,1013,2,0,0,0,0
73,151,12,0,0,0,1013,2,0,0,0,0
74,151,12,0,0,0,1013,2,0,0,0,0
75,151,12,0,0,0,1013,1,0,0,0,0
76,151,12,0,0,0,1013,1,0,0,0,0
77,151,12,0,0,0,1013,1,0,0,0,0
78,151,12,0,0,0,1013,1,0,0,0,0
79,151,12,0,0,0,1013,1,0,0,0,0
80,151,12,0,0,0,1013,0,0,0,0,0
81,151,12,0,0,0,1013,0,0,0,0,0
82,151,12,0,0,0,1013,0,0,0,0,0
83,151,12,0,0,0,1013,0,0,0,0,0
84,152,12,0,0,0,1013,0,0,0,0,0
85,151,11,0,0,0,1013,0,0,0,0,0
86,151,11,0,0,0,1013,0,0,0,0,0
87,151,11,0,0,0,1013,0,0,0,0,0
88,151,11,0,0,0,1013,0,0,0,0,0
89,151,11,0,0,0,1013,0,0,0,0,0
90,151,10,0,0,0,1013,0,0,0,0,0
91,151,10,0,0,0,1013,0,0,0,0,0
92,151,10,0,0,0,1013,0,0,0,0,0
93,151,10,0,0,0,1013,0,0,0,0,0
