sec,ESTABLISHED,TIME_WAIT,LISTEN,SYN_SENT,SYN_RECV,FIN_WAIT1,FIN_WAIT2,CLOSE_WAIT,CLOSING,LAST_ACK,CLOSED
1,152,12,0,0,0,1013,5,0,0,0,0
2,152,12,0,0,0,1013,4,0,0,0,0
3,152,12,0,0,0,1013,4,0,0,0,0
4,152,12,0,0,0,1013,4,0,0,0,0
5,152,12,0,0,0,1013,4,0,0,0,0
6,152,12,0,0,0,1013,4,0,0,0,0
7,152,12,0,0,0,1013,3,0,0,0,0
8,152,12,0,0,0,1013,3,0,0,0,0
9,152,12,0,0,0,1013,3,0,0,0,0
10,152,12,0,0,0,1013,3,0,0,0,0
11,152,12,0,0,0,1013,3,0,0,0,0
12,152,12,0,0,0,1013,2,0,0,0,0
13,152,14,0,0,0,1013,0,0,0,0,0
14,152,14,0,0,0,1013,0,0,0,0,0
15,152,14,0,0,0,1013,0,0,0,0,0
16,152,14,0,0,0,1013,0,0,0,0,0
17,152,13,0,0,0,1013,0,0,0,0,0
18,152,13,0,0,0,1013,0,0,0,0,0
19,152,13,0,0,0,1013,0,0,0,0,0
20,152,13,0,0,0,1013,0,0,0,0,0
21,152,12,0,0,0,1013,0,0,0,0,0
22,152,12,0,0,0,1013,0,0,0,0,0
23,152,12,0,0,0,1013,0,0,0,0,0
24,152,12,0,0,0,1013,0,0,0,0,0
25,152,12,0,0,0,1013,0,0,0,0,0
26,152,11,0,0,0,1013,0,0,0,0,0
27,152,11,0,0,0,1013,0,0,0,0,0
28,27,11,0,0,0,1138,0,0,0,0,0
29,21,11,0,0,0,1144,0,0,0,0,0
30,14,11,0,0,0,1151,0,0,0,0,0
31,12,10,0,0,0,1153,0,0,0,0,0
32,12,10,0,0,0,1153,0,0,0,0,0
33,12,10,0,0,0,1153,0,0,0,1,0
34,11,10,0,0,0,1154,0,0,0,0,0
35,11,10,0,0,0,1154,0,0,0,0,0
36,11,9,0,0,0,1154,0,0,0,0,0
37,11,9,0,0,0,1154,0,0,0,0,0
38,11,9,0,0,0,1154,0,0,0,0,0
39,11,9,0,0,0,1154,0,0,0,0,0
40,11,9,0,0,0,1154,0,0,0,0,0
41,11,8,0,0,0,1154,0,0,0,0,0
42,10,8,0,0,0,1155,0,0,0,0,0
43,9,8,0,0,0,1156,0,0,0,0,0
44,2,8,0,0,0,1163,0,0,0,0,0
45,0,8,0,0,0,1165,0,0,0,0,0
46,0,7,0,0,0,1165,0,0,0,0,0
47,0,7,0,0,0,1165,0,0,0,0,0
48,0,7,0,0,0,1165,0,0,0,0,0
49,0,7,0,0,0,1165,0,0,0,0,0
50,0,7,0,0,0,1165,0,0,0,0,0
51,0,6,0,0,0,1165,0,0,0,0,0
52,0,6,0,0,0,1165,0,0,0,0,0
53,0,6,0,0,0,1165,0,0,0,0,0
54,0,6,0,0,0,1165,0,0,0,0,0
55,0,6,0,0,0,740,425,0,0,0,0
56,0,5,0,0,0,152,1013,0,0,0,0
57,0,5,0,0,0,152,1013,0,0,0,0
58,0,5,0,0,0,152,1013,0,0,0,0
59,0,5,0,0,0,152,1013,0,0,0,0
60,0,5,0,0,0,152,1013,0,0,0,0
61,0,4,0,0,0,152,1013,0,0,0,0
62,0,4,0,0,0,152,1013,0,0,0,0
63,0,4,0,0,0,152,1013,0,0,0,0
64,0,4,0,0,0,152,1013,0,0,0,0
65,0,4,0,0,0,152,1013,0,0,0,0
66,0,3,0,0,0,151,1014,0,0,0,0
