sec,ESTABLISHED,TIME_WAIT,LISTEN,SYN_SENT,SYN_RECV,FIN_WAIT1,FIN_WAIT2,CLOSE_WAIT,CLOSING,LAST_ACK,CLOSED
1,0,843,0,0,0,328,0,0,0,0,0
2,0,843,0,0,0,328,0,0,0,0,0
3,0,843,0,0,0,328,0,0,0,0,0
4,0,843,0,0,0,328,0,0,0,0,0
5,0,843,0,0,0,328,0,0,0,0,0
6,0,843,0,0,0,328,0,0,0,0,0
7,0,843,0,0,0,328,0,0,0,0,0
8,0,843,0,0,0,328,0,0,0,0,0
9,0,843,0,0,0,328,0,0,0,0,0
10,0,843,0,0,0,326,2,0,0,0,0
11,0,843,0,0,0,326,2,0,0,0,0
12,0,843,0,0,0,326,2,0,0,0,0
13,0,843,0,0,0,258,70,0,0,0,0
14,0,843,0,0,0,158,170,0,0,0,0
15,0,843,0,0,0,158,170,0,0,0,0
16,0,843,0,0,0,158,170,0,0,0,0
17,0,843,0,0,0,158,170,0,0,0,0
18,0,843,0,0,0,158,170,0,0,0,0
19,0,845,0,0,0,158,168,0,0,0,0
20,0,845,0,0,0,158,168,0,0,0,0
21,0,845,0,0,0,158,168,0,0,0,0
22,0,845,0,0,0,158,168,0,0,0,0
23,0,996,0,0,0,158,17,0,0,0,0
24,0,1013,0,0,0,158,0,0,0,0,0
25,0,1013,0,0,0,158,0,0,0,0,0
26,0,1013,0,0,0,158,0,0,0,0,0
27,0,1013,0,0,0,158,0,0,0,0,0
28,0,1013,0,0,0,158,0,0,0,0,0
29,0,1013,0,0,0,158,0,0,0,0,0
30,0,1013,0,0,0,158,0,0,0,0,0
31,0,1013,0,0,0,158,0,0,0,0,0
32,0,1013,0,0,0,158,0,0,0,0,0
33,0,1013,0,0,0,158,0,0,0,0,0
34,0,1013,0,0,0,158,0,0,0,0,0
35,0,1013,0,0,0,158,0,0,0,0,0
36,0,1013,0,0,0,158,0,0,0,0,0
37,0,1013,0,0,0,158,0,0,0,0,0
38,0,1013,0,0,0,158,0,0,0,0,0
39,136,1019,0,0,0,0,0,0,0,0,0
40,674,1020,0,0,0,0,0,0,0,0,0
41,1141,1013,0,0,2,0,2,0,0,0,0
42,1141,1013,0,0,4,0,2,0,0,0,0
43,1141,1013,0,0,6,0,2,0,0,0,0
44,1141,1013,0,0,8,0,2,0,0,0,0
45,1141,1013,0,0,10,0,2,0,0,0,0
46,1141,1013,0,0,12,0,4,0,0,0,0
47,1141,1013,0,0,14,0,4,0,0,0,0
48,1141,1013,0,0,16,0,4,0,0,0,0
49,1141,1013,0,0,18,0,4,0,0,0,0
50,1141,170,0,0,20,0,4,0,0,0,0
51,1141,170,0,0,24,0,6,0,0,0,0
52,1141,170,0,0,26,0,6,0,0,0,0
53,1141,170,0,0,28,0,6,0,0,0,0
54,1141,170,0,0,28,0,6,0,0,0,0
55,1141,170,0,0,28,0,6,0,0,0,0
56,1141,170,0,0,28,0,8,0,0,0,0
57,1141,170,0,0,30,0,8,0,0,0,0
58,1141,170,0,0,32,0,8,0,0,0,0
59,1141,170,0,0,34,0,8,0,0,0,0
60,1141,170,0,0,36,0,8,0,0,0,0
61,1141,170,0,0,41,0,10,0,0,0,0
62,1141,170,0,0,41,0,10,0,0,0,0
63,1141,170,0,0,41,0,10,0,0,0,0
64,1141,170,0,0,41,0,10,0,0,0,0
65,1141,170,0,0,41,0,10,0,0,0,0
66,1141,170,0,0,40,0,12,0,0,0,0
67,1141,170,0,0,40,0,12,0,0,0,0
68,1140,170,0,0,40,0,12,1,0,0,0
69,1140,170,0,0,40,0,12,1,0,0,0
70,1138,170,0,0,40,0,14,1,0,0,0
71,1140,170,0,0,39,0,14,1,0,0,0
72,1140,170,0,0,41,0,14,1,0,0,0
