sec,ESTABLISHED,TIME_WAIT,LISTEN,SYN_SENT,SYN_RECV,FIN_WAIT1,FIN_WAIT2,CLOSE_WAIT,CLOSING,LAST_ACK,CLOSED
1,1,0,0,0,1,0,0,0,0,0,0
2,557,0,0,0,4,0,0,0,0,0,0
3,1126,0,0,0,4,0,0,0,0,0,0
4,1510,0,0,0,5,0,0,0,0,0,0
5,1701,0,0,0,6,0,0,0,0,0,0
6,1751,0,0,0,12,0,0,0,0,0,0
7,1750,0,0,0,18,0,0,1,0,0,0
8,1750,0,0,0,24,0,0,1,0,0,0
9,1750,0,0,0,30,0,0,1,0,0,0
10,1750,0,0,0,36,0,0,1,0,0,0
11,1750,0,0,0,42,0,0,1,0,0,0
12,1750,0,0,0,48,0,0,1,0,0,0
13,1750,0,0,0,54,0,0,1,0,0,0
14,1750,0,0,0,59,0,0,1,0,0,0
15,1750,0,0,0,63,0,0,1,0,0,0
16,1750,0,0,0,68,0,0,1,0,0,0
17,1750,0,0,0,72,0,0,1,0,0,0
18,1750,0,0,0,78,0,0,1,0,0,0
19,1750,0,0,0,84,0,0,1,0,0,0
20,1167,0,0,0,58,0,0,1,0,0,0
21,1167,0,0,0,62,0,0,1,0,0,0
22,1167,0,0,0,65,0,0,1,0,0,0
23,1167,0,0,0,67,0,0,1,0,0,0
24,1167,0,0,0,69,0,0,1,0,0,0
25,1167,0,0,0,71,0,0,1,0,0,0
26,1167,0,0,0,73,0,0,1,0,0,0
27,1167,0,0,0,75,0,0,1,0,0,0
28,1167,0,0,0,78,0,0,1,0,0,0
29,1167,0,0,0,80,0,0,1,0,0,0
30,1167,0,0,0,82,0,0,1,0,0,0
31,1167,0,0,0,83,0,0,1,0,0,0
32,1167,0,0,0,84,0,0,1,0,0,0
33,1167,0,0,0,86,0,0,1,0,0,0
34,1167,0,0,0,90,0,0,1,0,0,0
35,1167,0,0,0,94,0,0,1,0,0,0
36,1167,0,0,0,98,0,0,1,0,0,0
37,1167,0,0,0,100,0,0,1,0,0,0
38,1167,0,0,0,102,0,0,1,0,0,0
39,1167,0,0,0,105,0,0,1,0,0,0
40,1167,0,0,0,107,0,0,1,0,0,0
41,1167,0,0,0,109,0,0,1,0,0,0
42,1167,0,0,0,112,0,0,1,0,0,0
43,1167,0,0,0,114,0,0,1,0,0,0
44,1167,0,0,0,116,0,0,1,0,0,0
45,1167,0,0,0,118,0,0,1,0,0,0
46,1167,0,0,0,118,0,0,1,0,0,0
47,1167,0,0,0,118,0,0,1,0,0,0
48,1167,0,0,0,119,0,0,1,0,0,0
49,1167,0,0,0,120,0,0,1,0,0,0
50,1167,0,0,0,120,0,0,1,0,0,0
51,1167,0,0,0,121,0,0,1,0,0,0
52,1167,0,0,0,122,0,0,1,0,0,0
53,1167,0,0,0,122,0,0,1,0,0,0
54,1167,0,0,0,123,0,0,1,0,0,0
55,1167,0,0,0,124,0,0,1,0,0,0
56,1167,0,0,0,124,0,0,1,0,0,0
57,1167,0,0,0,125,0,0,1,0,0,0
58,1167,0,0,0,126,0,0,1,0,0,0
59,1167,0,0,0,126,0,0,1,0,0,0
60,1167,0,0,0,126,0,0,1,0,0,0
61,1167,0,0,0,126,0,0,1,0,0,0
62,1167,0,0,0,126,0,0,1,0,0,0
63,1167,0,0,0,127,0,0,1,0,0,0
64,1167,0,0,0,130,0,0,1,0,0,0
65,1167,0,0,0,134,0,0,1,0,0,0
66,1167,0,0,0,136,0,0,1,0,0,0
67,1167,0,0,0,134,0,0,1,0,0,0
68,1167,0,0,0,133,0,0,1,0,0,0
69,1167,0,0,0,131,0,0,1,0,0,0
70,1167,0,0,0,129,0,0,1,0,0,0
71,1167,0,0,0,127,0,0,1,0,0,0
72,1167,0,0,0,125,0,0,1,0,0,0
73,1167,0,0,0,123,0,0,1,0,0,0
74,1167,0,0,0,122,0,0,1,0,0,0
75,1167,0,0,0,121,0,0,1,0,0,0
76,1167,0,0,0,120,0,0,1,0,0,0
77,1167,0,0,0,119,0,0,1,0,0,0
78,1167,0,0,0,116,0,0,1,0,0,0
79,1167,0,0,0,112,0,0,1,0,0,0
80,1167,0,0,0,108,0,0,1,0,0,0
81,1167,0,0,0,104,0,0,1,0,0,0
82,1167,0,0,0,102,0,0,1,0,0,0
83,1167,0,0,0,100,0,0,1,0,0,0
84,1167,0,0,0,99,0,0,1,0,0,0
85,1167,0,0,0,97,0,0,1,0,0,0
86,1167,0,0,0,95,0,0,1,0,0,0
87,1167,0,0,0,94,0,0,1,0,0,0
88,1167,0,0,0,91,0,0,1,0,0,0
89,1167,0,0,0,89,0,0,1,0,0,0
90,1167,0,0,0,89,0,0,1,0,0,0
91,1167,0,0,0,86,0,0,1,0,0,0
92,1167,0,0,0,86,0,0,1,0,0,0
93,1167,0,0,0,87,0,0,1,0,0,0
94,1167,0,0,0,85,0,0,1,0,0,0
95,1167,0,0,0,83,0,0,1,0,0,0
96,1167,0,0,0,80,0,0,1,0,0,0
97,1167,0,0,0,74,0,0,1,0,0,0
98,1167,0,0,0,72,0,0,1,0,0,0
99,1167,0,0,0,72,0,0,1,0,0,0
100,1167,0,0,0,69,0,0,1,0,0,0
101,1167,0,0,0,67,0,0,1,0,0,0
102,1167,0,0,0,66,0,0,1,0,0,0
103,1167,0,0,0,63,0,0,1,0,0,0
104,1167,0,0,0,61,0,0,1,0,0,0
105,1167,0,0,0,60,0,0,1,0,0,0
106,1167,0,0,0,59,0,0,1,0,0,0
107,1167,0,0,0,59,0,0,1,0,0,0
108,1167,0,0,0,60,0,0,1,0,0,0
109,1167,0,0,0,59,0,0,1,0,0,0
110,1167,0,0,0,59,0,0,1,0,0,0
111,1167,0,0,0,59,0,0,1,0,0,0
112,1167,0,0,0,59,0,0,1,0,0,0
113,1167,0,0,0,59,0,0,1,0,0,0
114,1167,0,0,0,59,0,0,1,0,0,0
115,1167,0,0,0,59,0,0,1,0,0,0
116,1167,0,0,0,60,0,0,1,0,0,0
117,1167,0,0,0,59,0,0,1,0,0,0
118,1167,0,0,0,60,0,0,1,0,0,0
119,1167,0,0,0,60,0,0,1,0,0,0
120,1167,0,0,0,60,0,0,1,0,0,0
121,1167,0,0,0,61,0,0,1,0,0,0
122,1167,0,0,0,62,0,0,1,0,0,0
123,1167,0,0,0,61,0,0,1,0,0,0
124,1167,0,0,0,62,0,0,1,0,0,0
125,1167,0,0,0,60,0,0,1,0,0,0
126,1167,0,0,0,58,0,0,1,0,0,0
127,1167,0,0,0,55,0,0,1,0,0,0
128,1167,0,0,0,52,0,0,1,0,0,0
129,1167,0,0,0,49,0,0,1,0,0,0
130,1167,0,0,0,48,0,0,1,0,0,0
131,1167,0,0,0,47,0,0,1,0,0,0
132,1167,0,0,0,45,0,0,1,0,0,0
133,1167,0,0,0,44,0,0,1,0,0,0
134,1167,0,0,0,42,0,0,1,0,0,0
135,1167,0,0,0,40,0,0,1,0,0,0
136,1167,0,0,0,39,0,0,1,0,0,0
137,1167,0,0,0,37,0,0,1,0,0,0
138,1167,0,0,0,35,0,0,1,0,0,0
139,1167,0,0,0,36,0,0,1,0,0,0
140,1167,0,0,0,36,0,0,1,0,0,0
141,1167,0,0,0,36,0,0,1,0,0,0
142,1167,0,0,0,37,0,0,1,0,0,0
143,1167,0,0,0,37,0,0,1,0,0,0
144,1167,0,0,0,37,0,0,1,0,0,0
145,1167,0,0,0,38,0,0,1,0,0,0
146,1167,0,0,0,38,0,0,1,0,0,0
147,1167,0,0,0,38,0,0,1,0,0,0
148,1167,0,0,0,40,0,0,1,0,0,0
149,1167,0,0,0,39,0,0,1,0,0,0
150,1167,0,0,0,39,0,0,1,0,0,0
151,1167,0,0,0,40,0,0,1,0,0,0
152,1167,0,0,0,39,0,0,1,0,0,0
153,1167,0,0,0,39,0,0,1,0,0,0
154,1167,0,0,0,39,0,0,1,0,0,0
155,1167,0,0,0,39,0,0,1,0,0,0
156,1167,0,0,0,39,0,0,1,0,0,0
157,1167,0,0,0,40,0,0,1,0,0,0
158,1167,0,0,0,40,0,0,1,0,0,0
159,1167,0,0,0,41,0,0,1,0,0,0
160,1167,0,0,0,41,0,0,1,0,0,0
161,1167,0,0,0,41,0,0,1,0,0,0
162,1167,0,0,0,42,0,0,1,0,0,0
163,1167,0,0,0,41,0,0,1,0,0,0
164,1167,0,0,0,41,0,0,1,0,0,0
165,1167,0,0,0,42,0,0,1,0,0,0
166,1167,0,0,0,42,0,0,1,0,0,0
167,1167,0,0,0,42,0,0,1,0,0,0
168,1167,0,0,0,43,0,0,1,0,0,0
169,1167,0,0,0,42,0,0,1,0,0,0
170,1167,0,0,0,42,0,0,1,0,0,0
171,1167,0,0,0,43,0,0,1,0,0,0
172,1167,0,0,0,42,0,0,1,0,0,0
173,1167,0,0,0,42,0,0,1,0,0,0
174,1167,0,0,0,42,0,0,1,0,0,0
175,1167,0,0,0,42,0,0,1,0,0,0
176,1167,0,0,0,42,0,0,1,0,0,0
