sec,ESTABLISHED,TIME_WAIT,LISTEN,SYN_SENT,SYN_RECV,FIN_WAIT1,FIN_WAIT2,CLOSE_WAIT,CLOSING,LAST_ACK,CLOSED
1,1141,0,0,0,12,0,2,1,0,0,0
2,1141,0,0,0,14,0,2,1,0,0,0
3,1141,0,0,0,16,0,2,1,0,0,0
4,1141,0,0,0,18,0,2,1,0,0,0
5,1141,0,0,0,20,0,3,1,0,0,0
6,1141,0,0,0,22,0,3,1,0,0,0
7,1141,0,0,0,24,0,3,1,0,0,0
8,1141,0,0,0,25,0,3,1,0,0,0
9,1141,0,0,0,25,0,3,1,0,0,0
10,1141,0,0,0,24,0,4,1,0,0,0
11,1141,0,0,0,26,0,4,1,0,0,0
12,1141,0,0,0,28,0,4,1,0,0,0
13,1141,0,0,0,30,0,4,1,0,0,0
14,1141,0,0,0,32,0,4,1,0,0,0
15,1141,0,0,0,35,0,5,1,0,0,0
16,1141,0,0,0,35,0,5,1,0,0,0
17,1141,0,0,0,36,0,5,1,0,0,0
18,1141,0,0,0,36,0,5,1,0,0,0
19,1141,0,0,0,36,0,5,1,0,0,0
20,1141,0,0,0,36,0,6,1,0,0,0
21,1141,0,0,0,36,0,6,1,0,0,0
22,1141,0,0,0,36,0,6,1,0,0,0
23,1140,0,0,0,37,0,6,2,0,0,0
24,1140,0,0,0,37,0,6,2,0,0,0
25,1139,0,0,0,37,0,7,2,0,0,0
26,1140,0,0,0,37,0,7,2,0,0,0
27,1140,0,0,0,39,0,7,2,0,0,0
28,1140,0,0,0,41,0,7,2,0,0,0
29,1140,0,0,0,43,0,7,2,0,0,0
30,1139,0,0,0,51,0,8,3,0,0,0
31,1139,0,0,0,53,0,8,3,0,0,0
32,1139,0,0,0,54,0,8,3,0,0,0
33,1139,0,0,0,54,0,8,3,0,0,0
34,1139,0,0,0,54,0,8,3,0,0,0
35,1138,0,0,0,54,0,9,4,0,0,0
36,1138,0,0,0,54,0,9,4,0,0,0
37,1138,0,0,0,54,0,9,4,0,0,0
38,1138,0,0,0,54,0,9,4,0,0,0
39,1138,0,0,0,54,0,9,4,0,0,0
40,1137,0,0,0,53,0,10,5,0,0,0
41,1137,0,0,0,54,0,10,5,0,0,0
42,1137,0,0,0,54,0,10,5,0,0,0
43,1137,0,0,0,54,0,10,5,0,0,0
44,1137,0,0,0,54,0,10,5,0,0,0
45,1136,0,0,0,53,0,11,6,0,0,0
46,1136,0,0,0,53,0,11,6,0,0,0
47,1136,0,0,0,54,0,11,6,0,0,0
48,1136,0,0,0,54,0,11,6,0,0,0
49,1136,0,0,0,54,0,11,6,0,0,0
50,1136,0,0,0,54,0,12,6,0,0,0
51,1136,0,0,0,54,0,12,6,0,0,0
52,1135,0,0,0,55,0,12,7,0,0,0
53,1135,0,0,0,55,0,12,7,0,0,0
54,1135,0,0,0,54,0,13,7,0,0,0
55,1135,0,0,0,54,0,13,7,0,0,0
56,1135,0,0,0,54,0,13,7,0,0,0
57,1135,0,0,0,54,0,13,7,0,0,0
58,1135,0,0,0,54,0,13,7,0,0,0
59,1135,0,0,0,68,0,13,7,0,0,0
60,1135,0,0,0,66,0,13,7,0,0,0
61,1135,0,0,0,66,0,13,7,0,0,0
62,1135,0,0,0,64,0,13,7,0,0,0
63,1120,0,0,0,62,15,13,7,0,0,0
64,928,0,0,0,56,209,14,0,0,0,0
65,741,0,0,0,51,398,14,0,0,0,0
66,568,0,0,0,31,587,14,0,0,0,0
67,381,0,0,0,26,775,14,0,0,0,0
68,194,0,0,0,21,964,14,0,0,0,0
69,147,0,0,0,18,1013,13,0,0,0,0
70,149,0,0,0,15,1013,13,0,0,0,0
71,149,0,0,0,15,1013,13,0,0,0,0
72,149,0,0,0,15,1013,13,0,0,0,0
73,149,0,0,0,15,1013,13,0,0,0,0
74,149,0,0,0,14,1013,12,0,0,0,0
75,149,0,0,0,14,1013,12,0,0,0,0
