sec,ESTABLISHED,TIME_WAIT,LISTEN,SYN_SENT,SYN_RECV,FIN_WAIT1,FIN_WAIT2,CLOSE_WAIT,CLOSING,LAST_ACK,CLOSED
1,0,1012,0,0,0,975,0,0,0,0,0
2,0,1012,0,0,0,975,0,0,0,0,0
3,0,1012,0,0,0,975,0,0,0,0,0
4,0,1012,0,0,0,975,0,0,0,0,0
5,0,1012,0,0,0,975,0,0,0,0,0
6,0,1012,0,0,0,975,0,0,0,0,0
7,0,1012,0,0,0,975,0,0,0,0,0
8,0,1012,0,0,0,975,0,0,0,0,0
9,0,1012,0,0,0,975,0,0,0,0,0
10,0,1012,0,0,0,975,0,0,0,0,0
11,0,1012,0,0,0,975,0,0,0,0,0
12,0,1012,0,0,0,975,0,0,0,0,0
13,0,1012,0,0,0,975,0,0,0,0,0
14,0,1012,0,0,0,975,0,0,0,0,0
15,0,1012,0,0,0,975,0,0,0,0,0
16,0,1012,0,0,0,975,0,0,0,0,0
17,0,1012,0,0,0,975,0,0,0,0,0
18,0,1012,0,0,0,975,0,0,0,0,0
19,0,1012,0,0,0,0,0,0,0,0,0
20,264,1016,0,0,1,0,0,0,0,0,0
21,592,1013,0,0,1,0,0,0,0,0,0
22,938,1015,0,0,0,0,0,0,0,0,0
23,1142,1012,0,0,2,0,1,0,0,0,0
24,1142,1012,0,0,4,0,1,0,0,0,0
25,1142,1012,0,0,6,0,1,0,0,0,0
26,1142,1012,0,0,8,0,1,0,0,0,0
27,1142,1012,0,0,10,0,1,0,0,0,0
28,1142,1012,0,0,12,0,2,0,0,0,0
29,1142,974,0,0,14,0,2,0,0,0,0
30,1143,743,0,0,16,0,2,0,0,0,0
31,1142,497,0,0,19,0,2,0,0,0,0
32,1142,0,0,0,22,1,2,0,0,0,0
33,1142,0,0,0,24,0,3,0,0,0,0
34,1142,0,0,0,26,0,3,0,0,0,0
35,1142,0,0,0,28,0,3,0,0,0,0
36,1142,0,0,0,30,0,3,0,0,0,0
37,1142,0,0,0,35,0,4,0,0,0,0
38,1142,0,0,0,37,0,4,0,0,0,0
39,1142,0,0,0,39,0,4,0,0,0,0
40,1142,0,0,0,41,0,4,0,0,0,0
41,1142,0,0,0,43,0,4,0,0,0,0
42,1142,0,0,0,48,0,5,0,0,0,0
43,1142,0,0,0,50,0,5,0,0,0,0
44,1142,0,0,0,52,0,5,0,0,0,0
45,1142,0,0,0,54,0,5,0,0,0,0
46,1142,0,0,0,56,0,5,0,0,0,0
47,1142,0,0,0,56,0,6,0,0,0,0
48,1142,0,0,0,56,0,6,0,0,0,0
49,1142,0,0,0,57,0,6,0,0,0,0
50,1142,0,0,0,57,0,6,0,0,0,0
51,1142,0,0,0,57,0,6,0,0,0,0
52,1141,0,0,0,57,0,7,1,0,0,0
53,1141,0,0,0,59,0,7,1,0,0,0
54,1141,0,0,0,61,0,7,1,0,0,0
55,1141,0,0,0,63,0,7,1,0,0,0
56,1141,0,0,0,65,0,7,1,0,0,0
57,1141,0,0,0,65,0,8,1,0,0,0
58,1141,0,0,0,66,0,8,1,0,0,0
59,1141,0,0,0,66,0,8,1,0,0,0
60,1141,0,0,0,66,0,8,1,0,0,0
61,1141,0,0,0,66,0,8,1,0,0,0
62,1141,0,0,0,67,0,9,1,0,0,0
63,1141,0,0,0,64,0,9,1,0,0,0
64,1141,0,0,0,64,0,9,1,0,0,0
65,1141,0,0,0,64,0,9,1,0,0,0
66,1141,0,0,0,64,0,9,1,0,0,0
67,1141,0,0,0,64,0,10,1,0,0,0
68,1141,0,0,0,64,0,10,1,0,0,0
69,1140,0,0,0,65,0,10,2,0,0,0
