sec,ESTABLISHED,TIME_WAIT,LISTEN,SYN_SENT,SYN_RECV,FIN_WAIT1,FIN_WAIT2,CLOSE_WAIT,CLOSING,LAST_ACK,CLOSED
1,1113,1013,0,0,0,0,1,0,0,0,0
2,1142,1013,0,0,2,0,1,0,0,0,0
3,1142,1013,0,0,6,0,1,0,0,0,0
4,1142,1013,0,0,8,0,1,0,0,0,0
5,1142,1013,0,0,10,0,1,0,0,0,0
6,1142,1013,0,0,14,0,2,0,0,0,0
7,1142,1013,0,0,16,0,2,0,0,0,0
8,1142,1013,0,0,18,0,2,0,0,0,0
9,1142,1013,0,0,20,0,2,0,0,0,0
10,1142,0,0,0,22,0,2,0,0,0,0
11,1142,0,0,0,28,0,3,0,0,0,0
12,1142,0,0,0,30,0,3,0,0,0,0
13,1142,0,0,0,32,0,3,0,0,0,0
14,1142,0,0,0,32,0,3,0,0,0,0
15,1142,0,0,0,34,0,3,0,0,0,0
16,1142,0,0,0,35,0,4,0,0,0,0
17,1142,0,0,0,37,0,4,0,0,0,0
18,1141,0,0,0,39,0,4,1,0,0,0
19,1141,0,0,0,41,0,4,1,0,0,0
20,1141,0,0,0,43,0,4,1,0,0,0
21,1141,0,0,0,44,0,5,1,0,0,0
22,1141,0,0,0,44,0,5,1,0,0,0
23,1140,0,0,0,44,0,5,2,0,0,0
24,1140,0,0,0,45,0,5,2,0,0,0
25,1140,0,0,0,45,0,5,2,0,0,0
26,1140,0,0,0,44,0,6,2,0,0,0
27,1140,0,0,0,45,0,6,2,0,0,0
28,1140,0,0,0,45,0,6,2,0,0,0
29,1140,0,0,0,45,0,6,2,0,0,0
30,1140,0,0,0,45,0,6,2,0,0,0
31,1140,0,0,0,44,0,7,2,0,0,0
32,1140,0,0,0,46,0,7,2,0,0,0
33,1140,0,0,0,48,0,7,2,0,0,0
34,1140,0,0,0,50,0,7,2,0,0,0
35,1140,0,0,0,52,0,7,2,0,0,0
36,1139,0,0,0,53,0,8,3,0,0,0
37,1139,0,0,0,54,0,8,3,0,0,0
38,1139,0,0,0,54,0,8,3,0,0,0
39,1139,0,0,0,55,0,8,3,0,0,0
40,1138,0,0,0,55,1,8,3,0,0,0
41,1139,0,0,0,55,0,9,3,0,0,0
42,1139,0,0,0,55,0,9,3,0,0,0
43,1139,0,0,0,55,0,9,3,0,0,0
44,1139,0,0,0,55,0,9,3,0,0,0
45,1138,0,0,0,55,0,10,3,0,0,0
46,1139,0,0,0,54,0,10,3,0,0,0
47,1139,0,0,0,55,0,10,3,0,0,0
48,1139,0,0,0,55,0,10,3,0,0,0
49,1139,0,0,0,55,0,10,3,0,0,0
50,1139,0,0,0,55,0,11,3,0,0,0
51,1138,0,0,0,55,0,11,4,0,0,0
52,1138,0,0,0,55,0,11,4,0,0,0
53,1138,0,0,0,55,0,11,4,0,0,0
54,1138,0,0,0,55,0,11,4,0,0,0
55,1138,0,0,0,54,0,12,4,0,0,0
56,1138,0,0,0,55,0,12,4,0,0,0
57,1138,0,0,0,55,0,12,4,0,0,0
58,1138,0,0,0,55,0,12,4,0,0,0
59,1138,0,0,0,55,0,12,4,0,0,0
60,1138,1,0,0,54,0,12,4,0,0,0
61,1138,1,0,0,55,0,12,4,0,0,0
62,1138,1,0,0,55,0,12,4,0,0,0
63,1138,1,0,0,55,0,12,4,0,0,0
64,1138,1,0,0,55,0,12,4,0,0,0
65,1138,2,0,0,55,0,12,4,0,0,0
66,1138,2,0,0,55,0,12,4,0,0,0
67,1138,2,0,0,55,0,12,4,0,0,0
68,1137,2,0,0,53,0,12,5,0,0,0
69,1137,2,0,0,51,0,12,5,0,0,0
70,1137,3,0,0,50,0,12,5,0,0,0
71,1137,3,0,0,48,0,12,5,0,0,0
72,1137,3,0,0,46,0,12,5,0,0,0
73,774,3,0,0,40,363,12,0,0,0,0
74,137,3,0,0,36,1002,12,0,0,0,0
75,130,4,0,0,30,1013,11,0,0,0,0
76,133,4,0,0,27,1013,11,0,0,0,0
77,135,4,0,0,22,1013,11,0,0,0,0
78,137,4,0,0,18,1013,11,0,0,0,0
79,139,4,0,0,14,1013,11,0,0,0,0
80,139,5,0,0,12,1013,10,0,0,0,0
81,139,5,0,0,11,1013,10,0,0,0,0
82,139,5,0,0,11,1013,10,0,0,0,0
83,139,5,0,0,10,1013,10,0,0,0,0
84,139,5,0,0,10,1013,10,0,0,0,0
85,139,6,0,0,10,1013,9,0,0,0,0
86,141,6,0,0,8,1013,9,0,0,0,0
87,141,6,0,0,8,1013,9,0,0,0,0
88,142,6,0,0,7,1013,9,0,0,0,0
89,144,6,0,0,5,1013,9,0,0,0,0
90,146,7,0,0,3,1013,8,0,0,0,0
91,147,7,0,0,2,1013,8,0,0,0,0
92,147,7,0,0,2,1013,8,0,0,0,0
93,147,7,0,0,1,1013,8,0,0,0,0
94,147,7,0,0,1,1013,8,0,0,0,0
95,147,8,0,0,1,1013,7,0,0,0,0
96,147,8,0,0,0,1013,7,0,0,0,0
97,147,8,0,0,0,1013,7,0,0,0,0
98,147,8,0,0,0,1013,7,0,0,0,0
99,148,8,0,0,0,1013,7,0,0,0,0
100,147,9,0,0,0,1013,6,0,0,0,0
101,147,9,0,0,0,1013,6,0,0,0,0
102,147,9,0,0,0,1013,6,0,0,0,0
103,147,9,0,0,0,1013,6,0,0,0,0
104,147,10,0,0,0,1013,5,0,0,0,0
105,147,10,0,0,0,1013,5,0,0,0,0
106,147,10,0,0,0,1013,5,0,0,0,0
107,147,10,0,0,0,1013,5,0,0,0,0
108,147,10,0,0,0,1013,5,0,0,0,0
109,147,11,0,0,0,1013,4,0,0,0,0
110,147,11,0,0,0,1013,4,0,0,0,0
111,147,11,0,0,0,1013,4,0,0,0,0
112,147,11,0,0,0,1013,4,0,0,0,0
113,147,11,0,0,0,1013,4,0,0,0,0
114,147,12,0,0,0,1013,3,0,0,0,0
115,147,12,0,0,0,1013,3,0,0,0,0
116,147,12,0,0,0,1013,3,0,0,0,0
117,147,12,0,0,0,1013,3,0,0,0,0
118,147,12,0,0,0,1013,3,0,0,0,0
119,147,12,0,0,0,1013,2,0,0,0,0
120,147,12,0,0,0,1013,2,0,0,0,0
121,147,12,0,0,0,1013,2,0,0,0,0
122,147,12,0,0,0,1013,2,0,0,0,0
123,147,12,0,0,0,1013,2,0,0,0,0
124,147,12,0,0,0,1013,1,0,0,0,0
125,147,12,0,0,0,1013,1,0,0,0,0
126,147,12,0,0,0,1013,1,0,0,0,0
127,147,12,0,0,0,1013,1,0,0,0,0
128,147,12,0,0,0,1013,1,0,0,0,0
129,147,12,0,0,0,1013,0,0,0,0,0
130,147,12,0,0,0,1013,0,0,0,0,0
131,147,12,0,0,0,1013,0,0,0,0,0
132,147,12,0,0,0,1013,0,0,0,0,0
133,147,12,0,0,0,1013,0,0,0,0,0
134,147,11,0,0,0,1013,0,0,0,0,0
135,147,11,0,0,0,1013,0,0,0,0,0
136,147,11,0,0,0,1013,0,0,0,0,0
137,147,11,0,0,0,1013,0,0,0,0,0
138,147,11,0,0,0,1013,0,0,0,0,0
139,147,10,0,0,0,1013,0,0,0,0,0
140,147,10,0,0,0,1013,0,0,0,0,0
141,147,10,0,0,0,1013,0,0,0,0,0
142,147,10,0,0,0,1013,0,0,0,0,0
143,147,9,0,0,0,1013,0,0,0,0,0
144,147,9,0,0,0,1013,0,0,0,0,0
145,147,9,0,0,0,1013,0,0,0,0,0
